Account Name,VPC Name,Cloud Provider,Region Name,Availability Zone,Region CIDR,VPC CIDR,AZ CIDR,Subnet CIDR,Subnet Role,Usable IPs
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-northeast-1,ap-northeast-1a,10.100.72.0/21,10.100.0.0/16,10.100.72.0/24,10.100.72.112/29,Transit,6
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-northeast-1,ap-northeast-1c,10.100.72.0/21,10.100.0.0/16,10.100.73.0/24,10.100.73.0/26,Kubernetes,62
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-northeast-1,ap-northeast-1c,10.100.72.0/21,10.100.0.0/16,10.100.73.0/24,10.100.73.64/27,Services,30
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-northeast-1,ap-northeast-1c,10.100.72.0/21,10.100.0.0/16,10.100.73.0/24,10.100.73.96/28,Endpoints,14
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-northeast-1,ap-northeast-1c,10.100.72.0/21,10.100.0.0/16,10.100.73.0/24,10.100.73.112/29,Transit,6
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-northeast-1,ap-northeast-1d,10.100.72.0/21,10.100.0.0/16,10.100.74.0/24,10.100.74.0/26,Kubernetes,62
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-northeast-1,ap-northeast-1d,10.100.72.0/21,10.100.0.0/16,10.100.74.0/24,10.100.74.64/27,Services,30
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-northeast-1,ap-northeast-1d,10.100.72.0/21,10.100.0.0/16,10.100.74.0/24,10.100.74.96/28,Endpoints,14
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-northeast-1,ap-northeast-1d,10.100.72.0/21,10.100.0.0/16,10.100.74.0/24,10.100.74.112/29,Transit,6
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-southeast-1,ap-southeast-1a,10.100.80.0/21,10.100.0.0/16,10.100.80.0/24,10.100.80.0/26,Kubernetes,62
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-southeast-1,ap-southeast-1a,10.100.80.0/21,10.100.0.0/16,10.100.80.0/24,10.100.80.64/27,Services,30
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-southeast-1,ap-southeast-1a,10.100.80.0/21,10.100.0.0/16,10.100.80.0/24,10.100.80.96/28,Endpoints,14
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-southeast-1,ap-southeast-1a,10.100.80.0/21,10.100.0.0/16,10.100.80.0/24,10.100.80.112/29,Transit,6
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-southeast-1,ap-southeast-1b,10.100.80.0/21,10.100.0.0/16,10.100.81.0/24,10.100.81.0/26,Kubernetes,62
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-southeast-1,ap-southeast-1b,10.100.80.0/21,10.100.0.0/16,10.100.81.0/24,10.100.81.64/27,Services,30
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-southeast-1,ap-southeast-1b,10.100.80.0/21,10.100.0.0/16,10.100.81.0/24,10.100.81.96/28,Endpoints,14
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-southeast-1,ap-southeast-1b,10.100.80.0/21,10.100.0.0/16,10.100.81.0/24,10.100.81.112/29,Transit,6
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-southeast-1,ap-southeast-1c,10.100.80.0/21,10.100.0.0/16,10.100.82.0/24,10.100.82.0/26,Kubernetes,62
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-southeast-1,ap-southeast-1c,10.100.80.0/21,10.100.0.0/16,10.100.82.0/24,10.100.82.64/27,Services,30
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-southeast-1,ap-southeast-1c,10.100.80.0/21,10.100.0.0/16,10.100.82.0/24,10.100.82.96/28,Endpoints,14
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-southeast-1,ap-southeast-1c,10.100.80.0/21,10.100.0.0/16,10.100.82.0/24,10.100.82.112/29,Transit,6
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-southeast-2,ap-southeast-2a,10.100.88.0/21,10.100.0.0/16,10.100.88.0/24,10.100.88.0/26,Kubernetes,62
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-southeast-2,ap-southeast-2a,10.100.88.0/21,10.100.0.0/16,10.100.88.0/24,10.100.88.64/27,Services,30
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-southeast-2,ap-southeast-2a,10.100.88.0/21,10.100.0.0/16,10.100.88.0/24,10.100.88.96/28,Endpoints,14
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-southeast-2,ap-southeast-2a,10.100.88.0/21,10.100.0.0/16,10.100.88.0/24,10.100.88.112/29,Transit,6
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-southeast-2,ap-southeast-2b,10.100.88.0/21,10.100.0.0/16,10.100.89.0/24,10.100.89.0/26,Kubernetes,62
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-southeast-2,ap-southeast-2b,10.100.88.0/21,10.100.0.0/16,10.100.89.0/24,10.100.89.64/27,Services,30
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-southeast-2,ap-southeast-2b,10.100.88.0/21,10.100.0.0/16,10.100.89.0/24,10.100.89.96/28,Endpoints,14
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-southeast-2,ap-southeast-2b,10.100.88.0/21,10.100.0.0/16,10.100.89.0/24,10.100.89.112/29,Transit,6
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-southeast-2,ap-southeast-2c,10.100.88.0/21,10.100.0.0/16,10.100.90.0/24,10.100.90.0/26,Kubernetes,62
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-southeast-2,ap-southeast-2c,10.100.88.0/21,10.100.0.0/16,10.100.90.0/24,10.100.90.64/27,Services,30
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-southeast-2,ap-southeast-2c,10.100.88.0/21,10.100.0.0/16,10.100.90.0/24,10.100.90.96/28,Endpoints,14
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-southeast-2,ap-southeast-2c,10.100.88.0/21,10.100.0.0/16,10.100.90.0/24,10.100.90.112/29,Transit,6
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-south-1,ap-south-1a,10.100.96.0/21,10.100.0.0/16,10.100.96.0/24,10.100.96.0/26,Kubernetes,62
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-south-1,ap-south-1a,10.100.96.0/21,10.100.0.0/16,10.100.96.0/24,10.100.96.64/27,Services,30
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-south-1,ap-south-1a,10.100.96.0/21,10.100.0.0/16,10.100.96.0/24,10.100.96.96/28,Endpoints,14
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-south-1,ap-south-1a,10.100.96.0/21,10.100.0.0/16,10.100.96.0/24,10.100.96.112/29,Transit,6
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-south-1,ap-south-1b,10.100.96.0/21,10.100.0.0/16,10.100.97.0/24,10.100.97.0/26,Kubernetes,62
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-south-1,ap-south-1b,10.100.96.0/21,10.100.0.0/16,10.100.97.0/24,10.100.97.64/27,Services,30
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-south-1,ap-south-1b,10.100.96.0/21,10.100.0.0/16,10.100.97.0/24,10.100.97.96/28,Endpoints,14
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-south-1,ap-south-1b,10.100.96.0/21,10.100.0.0/16,10.100.97.0/24,10.100.97.112/29,Transit,6
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-south-1,ap-south-1c,10.100.96.0/21,10.100.0.0/16,10.100.98.0/24,10.100.98.0/26,Kubernetes,62
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-south-1,ap-south-1c,10.100.96.0/21,10.100.0.0/16,10.100.98.0/24,10.100.98.64/27,Services,30
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-south-1,ap-south-1c,10.100.96.0/21,10.100.0.0/16,10.100.98.0/24,10.100.98.96/28,Endpoints,14
innovation-operations-aws,innovation-operations-aws-vpc,aws,ap-south-1,ap-south-1c,10.100.96.0/21,10.100.0.0/16,10.100.98.0/24,10.100.98.112/29,Transit,6
innovation-operations-aws,innovation-operations-aws-vpc,aws,me-central-1,me-central-1a,10.100.104.0/21,10.100.0.0/16,10.100.104.0/24,10.100.104.0/26,Kubernetes,62
